Date,ls-ratio
2020-10-17,6.98
2020-10-18,6.91
2020-10-19,7.2
2020-10-20,6.89
2020-10-21,4.4
2020-10-22,4.21
2020-10-23,4.32
2020-10-24,4.24
2020-10-25,4.32
2020-10-26,4.23
2020-10-27,4.17
2020-10-28,4.72
2020-10-29,4.31
2020-10-30,4.08
2020-10-31,3.91
2020-11-01,3.78
2020-11-02,3.58
2020-11-03,3.54
2020-11-04,3.37
2020-11-05,2.75
2020-11-06,2.44
2020-11-07,2.17
2020-11-08,2.22
2020-11-09,2.23
2020-11-10,2.17
2020-11-11,2.17
2020-11-12,2.11
2020-11-13,2.07
2020-11-14,2.03
2020-11-15,1.99
2020-11-16,1.81
2020-11-17,1.54
2020-11-18,1.37
2020-11-19,1.38
2020-11-20,1.44
2020-11-21,1.33
2020-11-22,1.36
2020-11-23,1.2
2020-11-24,1.35
2020-11-25,1.08
2020-11-26,2.44
2020-11-27,4.13
2020-11-28,4.81
2020-11-29,4.63
2020-11-30,4.1
2020-12-01,3.49
2020-12-02,3.67
2020-12-03,3.89
2020-12-04,4.3
2020-12-05,4.27
2020-12-06,4.53
2020-12-07,4.75
2020-12-08,5.01
2020-12-09,3.89
2020-12-10,4.08
2020-12-11,4.29
2020-12-12,3.97
2020-12-13,4.01
2020-12-14,4.15
2020-12-15,4.27
2020-12-16,6.86
2020-12-17,6.66
2020-12-18,5.73
2020-12-19,7.5
2020-12-20,7.11
2020-12-21,7.48
2020-12-22,6.72
2020-12-23,6.37
2020-12-24,6.36
2020-12-25,6.9
2020-12-26,6.76
2020-12-27,6
2020-12-28,6.15
2020-12-29,5.67
2020-12-30,6.26
2020-12-31,5.71
2021-01-01,4.28
2021-01-02,3.04
2021-01-03,5.19
2021-01-04,5.26
2021-01-05,4.76
2021-01-06,4.08
2021-01-07,3.3
2021-01-08,3.39
2021-01-09,3.29
2021-01-10,2.74
2021-01-11,5.04
2021-01-12,5.65
2021-01-13,7.14
2021-01-14,12.51
2021-01-15,12.86
2021-01-16,12.49
2021-01-17,12.01
2021-01-18,14.05
2021-01-19,13.37
2021-01-20,10.42
2021-01-21,7.94
2021-01-22,9.44
2021-01-23,9.89
2021-01-24,10.39
2021-01-25,12.96
2021-01-26,11.39
2021-01-27,8.68
2021-01-28,9.64
2021-01-29,11.38
2021-01-30,12.62
2021-01-31,4.97
2021-02-01,5.07
2021-02-02,5.61
2021-02-03,6.04
2021-02-04,7.01
2021-02-05,7.4
2021-02-06,8.42
2021-02-07,8.09
2021-02-08,10.34
2021-02-09,13.09
2021-02-10,14.23
2021-02-11,14.29
2021-02-12,14.34
2021-02-13,14.38
2021-02-14,14.42
2021-02-15,14.08
2021-02-16,26.65
