Date,Momentum,,,,,
2020-07-14,-0.69,,,,,
2020-07-15,-0.22,,,,,
2020-07-16,0.11,,,,,
2020-07-17,0.11,,,,,
2020-07-18,-0.05,,,,,
2020-07-19,-0.44,,,,,
2020-07-20,0.59,,,,,
2020-07-21,0.27,,,,,
2020-07-22,0.16,,,,,
2020-07-23,-0.68,,,,,
2020-07-24,0.2,,,,,
2020-07-25,-0.91,,,,,
2020-07-26,-1.26,,,,,
2020-07-27,-1.22,,,,,
2020-07-28,-1.32,,,,,
2020-07-29,0.62,,,,,
2020-07-30,-0.32,,,,,
2020-07-31,-0.06,,,,,
2020-08-01,0.07,,,,,
2020-08-02,0.45,,,,,
2020-08-03,0.32,,,,,
2020-08-04,1.26,,,,,
2020-08-05,1.38,,,,,
2020-08-06,1.56,,,,,
2020-08-07,2.27,,,,,
2020-08-08,-0.07,,,,,
2020-08-09,0.26,,,,,
2020-08-10,0.13,,,,,
2020-08-11,1.83,,,,,
2020-08-12,1.3,,,,,
2020-08-13,-0.25,,,,,
2020-08-14,-0.59,,,,,
2020-08-15,-0.81,,,,,
2020-08-16,-1.29,,,,,
2020-08-17,-2.31,,,,,
2020-08-18,-0.16,,,,,
2020-08-19,0.41,,,,,
2020-08-20,-0.01,,,,,
2020-08-21,-0.51,,,,,
2020-08-22,-0.38,,,,,
2020-08-23,0.46,,,,,
2020-08-24,0.13,,,,,
2020-08-25,1.65,,,,,
2020-08-26,1.45,,,,,
2020-08-27,2.07,,,,,
2020-08-28,0.28,,,,,
2020-08-29,-0.65,,,,,
2020-08-30,-0.49,,,,,
2020-08-31,-1.02,,,,,
2020-09-01,-0.77,,,,,
2020-09-02,0.84,,,,,
2020-09-03,2.51,,,,,
2020-09-04,1.49,,,,,
2020-09-05,2.75,,,,,
2020-09-06,1.78,,,,,
2020-09-07,1.03,,,,,
2020-09-08,1.35,,,,,
2020-09-09,1.66,,,,,
2020-09-10,1.09,,,,,
2020-09-11,1.13,,,,,
2020-09-12,-0.62,,,,,
2020-09-13,-0.94,,,,,
2020-09-14,-1.55,,,,,
2020-09-15,-1.84,,,,,
2020-09-16,-1.01,,,,,
2020-09-17,-0.44,,,,,
2020-09-18,-0.38,,,,,
2020-09-19,-0.34,,,,,
2020-09-20,0.49,,,,,
2020-09-21,1.25,,,,,
2020-09-22,1,,,,,
