Date,disparity
2020-08-05,98.257654
2020-08-06,103.0100373
2020-08-07,102.2819577
2020-08-08,99.88734634
2020-08-09,100.2195637
2020-08-10,99.35616986
2020-08-11,101.8661604
2020-08-12,97.80394624
2020-08-13,99.32899237
2020-08-14,100.7474609
2020-08-15,100.7349576
2020-08-16,100.7419505
2020-08-17,99.85289897
2020-08-18,102.4868562
2020-08-19,100.3212771
2020-08-20,98.38127447
2020-08-21,99.85767342
2020-08-22,98.34502723
2020-08-23,99.69725402
2020-08-24,99.53290206
2020-08-25,101.356841
2020-08-26,98.03142931
2020-08-27,99.6714585
2020-08-28,98.48941327
2020-08-29,100.8352885
2020-08-30,99.94952032
2020-08-31,101.3874199
2020-09-01,99.973314
2020-09-02,102.642955
2020-09-03,100.0242385
2020-09-04,91.63308351
2020-09-05,96.78051783
2020-09-06,96.60786126
2020-09-07,99.66728603
2020-09-08,100.7456271
2020-09-09,98.97918409
2020-09-10,99.6589257
2020-09-11,100.6555555
2020-09-12,100.9096878
2020-09-13,100.9458121
2020-09-14,98.91373765
2020-09-15,101.4135222
2020-09-16,101.4472143
2020-09-17,102.1234248
2020-09-18,100.7596309
2020-09-19,99.8337929
2020-09-20,101.0532594
2020-09-21,100.5261683
2020-09-22,96.8879801
2020-09-23,98.86999093
2020-09-24,96.78665475
2020-09-25,102.0984136
2020-09-26,100.9242115
2020-09-27,100.9572576
2020-09-28,100.3625319
2020-09-29,99.58203751
2020-09-30,100.6582745
2020-10-01,100.451801
2020-10-02,99.1872403
2020-10-03,99.06623862
2020-10-04,99.16045535
2020-10-05,100.3288394
2020-10-06,101.4831009
2020-10-07,99.49545569
2020-10-08,99.431283
2020-10-09,101.096654
2020-10-10,101.3672496
2020-10-11,102.0798157
2020-10-12,101.3290313
2020-10-13,101.7934109
2020-10-14,100.094457
2020-10-15,99.72545426
2020-10-16,100.4995758
2020-10-17,99.26291777
2020-10-18,99.45956075
2020-10-19,100.1293005
2020-10-20,101.5701942
2020-10-21,100.4077022
2020-10-22,105.0497291
2020-10-23,103.9728633
2020-10-24,101.4312434
2020-10-25,101.048346
2020-10-26,100.0677154
2020-10-27,99.355578
2020-10-28,103.2220839
2020-10-29,99.82952493
2020-10-30,100.3048629
2020-10-31,100.0616875
2020-11-01,101.6690532
2020-11-02,100.9289262
2020-11-03,98.81403602
2020-11-04,100.8674147
2020-11-05,99.60143442
2020-11-06,107.0327081
2020-11-07,105.0847091
2020-11-08,98.11623719
2020-11-09,100.7899486
2020-11-10,100.2082719
2020-11-11,99.76078017
2020-11-12,100.5456235
2020-11-13,103.1215566
2020-11-14,102.4286248
2020-11-15,100.0267427
2020-11-16,98.08677224
2020-11-17,100.8771192
2020-11-18,104.7948011
2020-11-19,103.5852571
2020-11-20,100.5434208
2020-11-21,102.8460531
2020-11-22,102.1440197
2020-11-23,100.0384776
2020-11-24,98.6251493
2020-11-25,102.4739432
2020-11-26,102.098535
2020-11-27,94.81204913
2020-11-28,95.26659367
2020-11-29,99.67613468
2020-11-30,101.2384212
2020-12-01,107.3679926
2020-12-02,100.517399
2020-12-03,100.8155353
2020-12-04,101.5241376
2020-12-05,98.09916652
2020-12-06,99.92205279
2020-12-07,100.9177102
2020-12-08,101.3153089
2020-12-09,96.86820023
2020-12-10,99.02824339
2020-12-11,98.84085655
2020-12-12,98.10221506
2020-12-13,101.303519
2020-12-14,102.3588126
2020-12-15,101.6541224
2020-12-16,99.15618607
2020-12-17,104.5327807
2020-12-18,107.6630845
2020-12-19,104.6351258
2020-12-20,104.108155
2020-12-21,101.101651
2020-12-22,97.35118121
2020-12-23,101.4809432
2020-12-24,99.28256964
2020-12-25,100.3718692
2020-12-26,101.2497119
2020-12-27,106.3090935
2020-12-28,102.5033999
2020-12-29,102.7216252
2020-12-30,100.5903916
2020-12-31,104.0744558
2021-01-01,102.3336733
2021-01-02,100.119793
2021-01-03,105.6012235
2021-01-04,105.6665165
2021-01-05,99.77373665
2021-01-06,101.4132956
2021-01-07,105.2746702
2021-01-08,107.6255302
2021-01-09,106.6425494
2021-01-10,102.8972259
2021-01-11,98.65516314
2021-01-12,94.00925098
2021-01-13,91.45635923
2021-01-14,101.2345017
2021-01-15,107.0916516
2021-01-16,100.3696698
2021-01-17,97.58215467
2021-01-18,96.93899076
2021-01-19,100.9457621
2021-01-20,100.0185995
2021-01-21,101.6483534
2021-01-22,89.54494421
2021-01-23,98.45515712
2021-01-24,97.91472686
2021-01-25,100.5444364
2021-01-26,99.68825506
2021-01-27,101.9372798
2021-01-28,94.46448336
2021-01-29,105.1743917
2021-01-30,103.8928156
2021-01-31,103.4755545
2021-02-01,98.14428774
2021-02-02,98.19515129
2021-02-03,102.0992478
2021-02-04,106.1257069
2021-02-05,101.6894135
2021-02-06,101.8007635
2021-02-07,102.9044011
2021-02-08,97.49185454
2021-02-09,110.4949946
2021-02-10,107.685948
2021-02-11,100.0378895
2021-02-12,102.7360371
2021-02-13,101.5120736
2021-02-14,99.7532839
2021-02-15,101.7980567
2021-02-16,99.68798906
2021-02-17,100.3751863
2021-02-18,104.4109875
2021-02-19,100.5909928
2021-02-20,105.4413068
2021-02-21,102.5557952
2021-02-22,104.4474663
2021-02-23,99.43693169
2021-02-24,91.66551491
2021-02-25,96.57091548
2021-02-26,95.82876128
2021-02-27,97.30089952
2021-02-28,98.50933516
2021-03-01,96.33366652
2021-03-02,105.2547995
2021-03-03,100.9189743
2021-03-04,104.2783175
2021-03-05,98.61736656
2021-03-06,99.6649519
2021-03-07,98.56842599
2021-03-08,102.4080119
2021-03-09,102.0489947
2021-03-10,104.1496447
2021-03-11,102.8390849
2021-03-12,103.9141083
2021-03-13,99.82726776
2021-03-14,104.9416992
2021-03-15,101.628087
2021-03-16,96.08187348
2021-03-17,97.26173223
2021-03-18,101.9813924
2021-03-19,100.5085806
2021-03-20,100.5052785
2021-03-21,100.2186337
2021-03-22,100.355118
2021-03-23,96.15683955
2021-03-24,98.44285682
2021-03-25,97.18501537
2021-03-26,96.10658268
2021-03-27,101.9826407
2021-03-28,103.0694229
2021-03-29,101.1657782
2021-03-30,101.7697151
2021-03-31,102.4835247
2021-04-01,101.3761449
2021-04-02,100.4854511
2021-04-03,101.0433145
2021-04-04,98.04698668
2021-04-05,99.96731195
2021-04-06,100.9770311
2021-04-07,100.4387595
2021-04-08,96.59685377
2021-04-09,100.6087871
2021-04-10,100.2289712
2021-04-11,102.2606612
2021-04-12,101.4906254
2021-04-13,99.27396406
2021-04-14,103.6260328
2021-04-15,101.7257913
2021-04-16,101.5732874
2021-04-17,98.54759779
2021-04-18,99.54506976
2021-04-19,94.43612616
2021-04-20,95.78177273
2021-04-21,99.77111721
2021-04-22,98.25004227
2021-04-23,96.18519639
