Date,VolumePerMarketcap
2020-01-01,16.249112085333614
2020-01-02,13.895956431284844
2020-01-03,16.08573607742757
2020-01-04,23.361188045600944
2020-01-05,15.442355408082678
2020-01-06,16.440055803614197
2020-01-07,20.02638435625492
2020-01-08,23.561241552473945
2020-01-09,27.36096116626228
2020-01-10,20.629453718872373
2020-01-11,24.358193198194137
2020-01-12,21.64347355249193
2020-01-13,18.57800624383557
2020-01-14,18.964343382697283
2020-01-15,34.72771217515361
2020-01-16,30.10763419717033
2020-01-17,23.017149865025075
2020-01-18,25.747440977875502
2020-01-19,22.741931020768515
2020-01-20,24.85167305461524
2020-01-21,18.82567037094227
2020-01-22,17.06409919388059
2020-01-23,16.271816225725345
2020-01-24,20.064734984178894
2020-01-25,20.021438178890936
2020-01-26,17.51196500218474
2020-01-27,19.347882608264964
2020-01-28,24.562242166861036
2020-01-29,29.38486514372025
2020-01-30,28.01579314866906
2020-01-31,29.50278048073388
2020-02-01,29.58708588209723
2020-02-02,28.356214534096523
2020-02-03,32.381863020284975
2020-02-04,33.543346885058675
2020-02-05,33.145315651361045
2020-02-06,37.61555956261144
2020-02-07,40.105063030705686
2020-02-08,38.95174157005975
2020-02-09,39.738537530063226
2020-02-10,42.26963993488452
2020-02-11,45.1893213087551
2020-02-12,20.90090242183064
2020-02-13,24.16196355548288
2020-02-14,29.08380487827088
2020-02-15,26.751115108837
2020-02-16,28.546936569796085
2020-02-17,23.377419647464688
2020-02-18,27.48130066564619
2020-02-19,29.552555089236204
2020-02-20,28.807194698331216
2020-02-21,30.63922811945256
2020-02-22,21.323018779059403
2020-02-23,18.48713621300891
2020-02-24,21.36191136171702
2020-02-25,23.840501158979365
2020-02-26,23.13585029284183
2020-02-27,28.084127288599117
2020-02-28,26.87822393975429
2020-02-29,25.96844739428724
2020-03-01,21.334324366592643
2020-03-02,22.00333659553585
2020-03-03,36.780665618124544
2020-03-04,42.75904793178873
2020-03-05,24.2897870355608
2020-03-06,23.094792969175906
2020-03-07,24.81433096688626
2020-03-08,22.61842745607081
2020-03-09,26.606682872920544
2020-03-10,31.575670472559956
2020-03-11,28.309680832885547
2020-03-12,26.691581633850426
2020-03-13,53.72048948514672
2020-03-14,73.40265345811858
2020-03-15,37.86595154193593
2020-03-16,33.44299692539748
2020-03-17,47.8828827748261
2020-03-18,36.712050192425785
2020-03-19,38.28421318723765
2020-03-20,42.611193224203895
2020-03-21,45.06467129766904
2020-03-22,35.77147915587632
2020-03-23,34.77667090916134
2020-03-24,38.61083266339213
2020-03-25,37.25413331147536
2020-03-26,34.36823047722831
2020-03-27,28.157902879883
2020-03-28,28.12394618640525
2020-03-29,30.85862659713399
2020-03-30,23.881242195653773
2020-03-31,29.796555418843173
2020-04-01,27.420482858796458
2020-04-02,29.67787304286896
2020-04-03,38.19658727910476
2020-04-04,32.35104164692984
2020-04-05,27.881445173785323
2020-04-06,25.65788666065419
2020-04-07,33.988978590401544
2020-04-08,32.92256920090018
2020-04-09,28.93466976765275
2020-04-10,26.139101031358464
2020-04-11,30.08410424599682
2020-04-12,24.03550046760572
2020-04-13,27.274300980210665
2020-04-14,30.292108181262545
2020-04-15,26.916172474951367
2020-04-16,24.43871508356036
2020-04-17,35.35624607507665
2020-04-18,24.58241927484584
2020-04-19,22.62109759600298
2020-04-20,22.73844979883716
2020-04-21,28.0586346494885
2020-04-22,23.983859362936503
2020-04-23,23.63486855139633
2020-04-24,30.301600743658664
2020-04-25,24.1706514770407
2020-04-26,22.85653897215404
2020-04-27,23.947737087725567
2020-04-28,24.679687419173906
2020-04-29,23.077641843802997
2020-04-30,37.63599648910807
2020-05-01,41.65857969210552
2020-05-02,27.6400675514298
2020-05-03,23.801404795824084
2020-05-04,27.97957719297087
2020-05-05,27.53346360710275
2020-05-06,26.271552925031788
2020-05-07,28.90060225945705
2020-05-08,33.73587719486941
2020-05-09,28.242516578077137
2020-05-10,26.57516759091887
2020-05-11,38.36992730776463
2020-05-12,36.68002151094924
2020-05-13,24.471695185467787
2020-05-14,25.932987365595515
2020-05-15,29.028505045043545
2020-05-16,26.240398067537622
2020-05-17,19.816964454144976
2020-05-18,20.115771989642376
2020-05-19,21.81212429063423
2020-05-20,20.69892827564404
2020-05-21,19.87657433199917
2020-05-22,21.59161926829274
2020-05-23,16.458305447151407
2020-05-24,15.514516088061006
2020-05-25,18.23798781291548
2020-05-26,17.835235403738743
2020-05-27,16.524937899871098
2020-05-28,17.149152508409014
2020-05-29,18.099641789061018
2020-05-30,16.659607796854043
2020-05-31,16.98602227395711
2020-06-01,15.735648820944908
2020-06-02,18.02923698263103
2020-06-03,20.99651534536818
2020-06-04,14.216280861696855
2020-06-05,13.848041290642128
2020-06-06,13.219519366206564
2020-06-07,10.89048259347529
2020-06-08,13.31525541457059
2020-06-09,11.76512101583889
2020-06-10,12.71175348850421
2020-06-11,13.427652469278453
2020-06-12,18.194812095758877
2020-06-13,13.54331020726511
2020-06-14,11.300221168122135
2020-06-15,10.943849034045318
2020-06-16,16.797931225975336
2020-06-17,15.074096757894818
2020-06-18,13.570026287536011
2020-06-19,11.90576535161625
2020-06-20,13.873931696944192
2020-06-21,11.47521791042986
2020-06-22,11.090583654015171
2020-06-23,13.90490575887133
2020-06-24,10.021502750501256
2020-06-25,13.555512767956978
2020-06-26,13.7828893112942
2020-06-27,13.286880826602756
2020-06-28,12.960832232262424
2020-06-29,11.682684069730858
2020-06-30,11.676875929379824
2020-07-01,11.711904490248855
2020-07-02,11.765451181965046
2020-07-03,11.562581108481552
