Date,Kimchi,,,,,
2020-07-09,-0.86,,,,,
2020-07-10,-1.06,,,,,
2020-07-11,-1.07,,,,,
2020-07-12,-1.31,,,,,
2020-07-13,-1.09,,,,,
2020-07-14,-1.29,,,,,
2020-07-15,-0.67,,,,,
2020-07-16,-0.68,,,,,
2020-07-17,-0.81,,,,,
2020-07-18,-1.11,,,,,
2020-07-19,-1.31,,,,,
2020-07-20,-0.47,,,,,
2020-07-21,-0.8,,,,,
2020-07-22,-1.15,,,,,
2020-07-23,-1.77,,,,,
2020-07-24,-1.09,,,,,
2020-07-25,-1.58,,,,,
2020-07-26,-1.94,,,,,
2020-07-27,-2.03,,,,,
2020-07-28,-2.42,,,,,
2020-07-29,-0.69,,,,,
2020-07-30,-0.79,,,,,
2020-07-31,-0.86,,,,,
2020-08-01,-1.08,,,,,
2020-08-02,-1.32,,,,,
2020-08-03,-0.77,,,,,
2020-08-04,-0.33,,,,,
2020-08-05,-0.56,,,,,
2020-08-06,-0.47,,,,,
2020-08-07,-0.15,,,,,
2020-08-08,-0.75,,,,,
2020-08-09,-0.52,,,,,
2020-08-10,-0.73,,,,,
2020-08-11,0.76,,,,,
2020-08-12,-0.02,,,,,
2020-08-13,-1.02,,,,,
2020-08-14,-0.92,,,,,
2020-08-15,-1.38,,,,,
2020-08-16,-1.75,,,,,
2020-08-17,-2.46,,,,,
2020-08-18,-0.91,,,,,
2020-08-19,-0.11,,,,,
2020-08-20,-0.74,,,,,
2020-08-21,0.25,,,,,
2020-08-22,-0.4,,,,,
2020-08-23,-0.56,,,,,
2020-08-24,-0.79,,,,,
2020-08-25,0.28,,,,,
2020-08-26,-0.3,,,,,
2020-08-27,-0.39,,,,,
2020-08-28,-0.63,,,,,
2020-08-29,-0.76,,,,,
2020-08-30,-1.22,,,,,
2020-08-31,-0.77,,,,,
2020-09-01,-1.17,,,,,
2020-09-02,0.28,,,,,
2020-09-03,1.73,,,,,
2020-09-04,1.77,,,,,
2020-09-05,2.45,,,,,
