Date,hash-rate
2020-04-08,105320087.562019
2020-04-09,104926817.650012
2020-04-10,105903459.593729
2020-04-11,109895383.977912
2020-04-12,110999326.636809
2020-04-13,109697883.675375
2020-04-14,114921002.253231
2020-04-15,115878648.739099
2020-04-16,118816054.720422
2020-04-17,118816054.720422
2020-04-18,115054068.818984
2020-04-19,114949569.21061
2020-04-20,114845069.602237
2020-04-21,113800073.518504
2020-04-22,112777076.676656
2020-04-23,109962852.466352
2020-04-24,109962750.669072
2020-04-25,113010797.986493
2020-04-26,111912718.689852
2020-04-27,111554966.887762
2020-04-28,110710037.987557
2020-04-29,111629896.646635
2020-04-30,113216514.466993
2020-05-01,112423205.556814
2020-05-02,112083216.02388
2020-05-03,113443174.155615
2020-05-04,116956399.329266
2020-05-05,118883006.682558
2020-05-06,119472293.060665
2020-05-07,120652100.729182
2020-05-08,122164632.518374
2020-05-09,121853507.638213
2020-05-10,120634706.087525
2020-05-11,121037811.502457
2020-05-12,121087434.475972
2020-05-13,119743045.084793
2020-05-14,115740173.472599
2020-05-15,111966037.381101
2020-05-16,110593624.25692
2020-05-17,109449946.653436
2020-05-18,101672938.949743
2020-05-19,98356273.8996392
2020-05-20,94810873.3288382
2020-05-21,93625665.1786
2020-05-22,94670543.8851019
2020-05-23,92307330.9092642
2020-05-24,90689768.7004809
2020-05-25,91494525.7922836
2020-05-26,90293241.9583556
2020-05-27,90471236.6930317
2020-05-28,92882000.9595074
2020-05-29,92882000.9595074
2020-05-30,94602038.014313
2020-05-31,98579623.7035511
2020-06-01,102234702.445013
2020-06-02,103202223.288341
2020-06-03,103739734.867968
2020-06-04,103847237.183893
2020-06-05,105288528.17664
2020-06-06,109091786.586293
2020-06-07,111435315.225435
2020-06-08,110815623.437835
2020-06-09,112208528.244687
2020-06-10,113943904.938068
2020-06-11,114994337.85839
2020-06-12,117511415.090885
2020-06-13,115951097.54611
2020-06-14,112245343.377269
2020-06-15,113318061.689302
2020-06-16,110977585.372139
2020-06-17,110570811.737399
2020-06-18,110046645.128236
2020-06-19,105905233.950636
2020-06-20,105926966.556855
2020-06-21,105875824.184775
2020-06-22,105663297.23399
2020-06-23,108235120.846129
2020-06-24,110749704.102072
2020-06-25,110861798.94428
2020-06-26,112767411.261826
2020-06-27,115233497.790415
2020-06-28,115345592.632623
2020-06-29,115793972.001458
2020-06-30,116018161.685875
2020-07-01,114784987.494874
2020-07-02,117362562.862058
2020-07-03,119940130.747715
2020-07-04,119827426.16113
2020-07-05,121956640.863295
2020-07-06,123413264.06763
2020-07-07,124421541.569999
2020-07-08,125990398.024775
2020-07-09,124757395.908874
2020-07-10,124757395.908874
2020-07-11,124533213.705983
2020-07-12,124421122.604538
2020-07-13,123188120.488637
2020-07-14,123224185.966143
2020-07-15,122915681.282352
2020-07-16,122988997.502643
2020-07-17,121358766.034019
2020-07-18,117847537.538614
2020-07-19,116374944.771181
2020-07-20,115473898.094593
2020-07-21,115544420.588229
2020-07-22,113203968.572049
2020-07-23,113943058.682421
2020-07-24,113943058.682421
2020-07-25,119239871.140091
2020-07-26,120718051.360836
2020-07-27,124043956.857512
2020-07-28,124990478.249959
2020-07-29,126940916.245089
2020-07-30,126909829.437031
2020-07-31,126308844.853176
2020-08-01,124781881.420714
2020-08-02,123681091.535147
2020-08-03,121087964.305909
2020-08-04,122154894.821214
2020-08-05,122154894.821214
2020-08-06,119881689.138939
2020-08-07,122394179.629875
2020-08-08,122274537.225544
2020-08-09,122872749.247196
2020-08-10,124667385.31215
2020-08-11,121699816.458202
2020-08-12,122886223.950615
2020-08-13,126347972.693877
2020-08-14,125375833.915008
2020-08-15,127289349.963888
2020-08-16,129075393.190335
2020-08-17,128705025.714073
2020-08-18,127334807.631697
2020-08-19,125649847.984397
2020-08-20,123363117.034489
2020-08-21,123242762.773968
2020-08-22,121798511.64771
2020-08-23,119391426.437281
2020-08-24,119993197.739889
2020-08-25,123297691.914001
2020-08-26,122408096.683207
2020-08-27,123504835.109322
2020-08-28,122017801.825104
2020-08-29,123686955.526154
2020-08-30,125523152.512131
2020-08-31,122462847.342767
2020-09-01,122817197.059187
2020-09-02,126059072.311511
2020-09-03,126308447.33092
2020-09-04,126308447.33092
2020-09-05,122817197.059187
2020-09-06,122193759.510663
2020-09-07,125061572.233873
2020-09-08,128038750.602132
2020-09-09,127930089.154569
2020-09-10,128329210.608688
2020-09-11,131707283.001427
2020-09-12,131873589.684717
2020-09-13,135233596.351733
2020-09-14,136485959.170917
2020-09-15,136485692.077698
2020-09-16,136608874.110259
2020-09-17,137347966.305626
2020-09-18,139811606.956848
2020-09-19,143137521.835997
2020-09-20,140550699.152214
2020-09-21,139904505.853002
2020-09-22,138113015.659312
2020-09-23,136590567.767926
2020-09-24,136974413.067597
2020-09-25,133839259.634325
2020-09-26,136694669.322183
2020-09-27,138914905.991678
2020-09-28,140454294.330707
2020-09-29,138259695.981789
2020-09-30,139905644.743477
2020-10-01,141825918.29878
2020-10-02,140042807.140285
2020-10-03,135516448.045643
2020-10-04,135653610.44245
2020-10-05,136460935.277858
2020-10-06,137953248.437017
2020-10-07,136429165.523967
2020-10-08,135725586.010902
2020-10-09,140918695.237245
2020-10-10,141724961.080857
2020-10-11,140610835.703412
2020-10-12,138141088.900594
2020-10-13,139374491.480063
2020-10-14,144308101.797942
2020-10-15,144034012.335837
2020-10-16,142526520.294263
2020-10-17,144308101.797942
2020-10-18,146484944.03742
2020-10-19,144339932.504256
2020-10-20,141671570.508878
2020-10-21,139371646.131186
2020-10-22,137413336.253064
2020-10-23,136175009.876996
2020-10-24,133536442.036012
2020-10-25,133347787.620651
2020-10-26,132921756.350298
2020-10-27,130791599.99853
2020-10-28,124401130.943227
2020-10-29,120140818.239692
2020-10-30,116022515.959608
2020-10-31,113182307.490585
2020-11-01,107643900.975989
2020-11-02,108779984.363598
2020-11-03,106649828.011831
2020-11-04,110352547.382799
2020-11-05,115107145.479385
2020-11-06,117295045.815402
2020-11-07,119772222.067545
2020-11-08,121130852.421893
2020-11-09,119831614.779522
2020-11-10,128395929.468107
2020-11-11,128159204.244216
2020-11-12,126728589.871257
2020-11-13,128278422.108629
2020-11-14,126609372.006844
2020-11-15,126132500.549191
2020-11-16,127563114.92215
2020-11-17,124869930.271802
2020-11-18,126964111.470282
2020-11-19,130557849.912116
2020-11-20,128602936.800966
2020-11-21,133025455.054494
2020-11-22,137215282.818394
2020-11-23,141076183.185053
2020-11-24,140083639.150049
2020-11-25,137459413.974178
2020-11-26,135709930.523598
2020-11-27,137334450.870566
2020-11-28,135584967.419985
2020-11-29,133710520.865792
2020-11-30,131309769.589972
2020-12-01,128313154.489922
2020-12-02,131996845.778381
2020-12-03,130449316.118089
2020-12-04,133063743.475041
2020-12-05,133409747.667951
2020-12-06,133755751.860862
2020-12-07,132914894.026818
2020-12-08,137948518.467956
2020-12-09,136860167.23744
2020-12-10,137948518.467956
2020-12-11,134275333.064963
2020-12-12,133459069.642076
2020-12-13,131826542.796301
2020-12-14,134533587.607659
2020-12-15,133351912.234756
2020-12-16,132323572.346835
2020-12-17,132373208.74073
2020-12-18,131791042.042818
2020-12-19,133832920.566665
2020-12-20,136823648.10098
2020-12-21,135635056.095611
2020-12-22,134441785.80738
2020-12-23,134839542.570124
2020-12-24,136297984.033517
2020-12-25,135900227.270774
2020-12-26,134176614.632217
2020-12-27,131392317.293011
2020-12-28,130994560.530268
2020-12-29,134096925.475906
2020-12-30,135214014.935461
2020-12-31,137514350.890001
2021-01-01,142734576.909303
2021-01-02,143322827.587521
2021-01-03,145103346.174645
2021-01-04,146350014.083808
2021-01-05,148066610.067091
2021-01-06,148727032.056686
2021-01-07,149387454.04628
2021-01-08,149651622.842118
2021-01-09,149519538.444199
2021-01-10,148690226.433031
2021-01-11,151089413.122526
2021-01-12,150775619.328751
2021-01-13,151697118.484294
2021-01-14,150562301.293048
2021-01-15,149884529.168586
2021-01-16,153019188.22568
2021-01-17,155416162.877007
2021-01-18,151611247.401676
2021-01-19,150294161.275599
2021-01-20,150440504.178497
2021-01-21,148830732.246626
2021-01-22,146196559.994473
2021-01-23,144294102.256807
2021-01-24,145607574.278319
2021-01-25,146698957.53407
2021-01-26,146182103.576213
2021-01-27,148185308.051105
2021-01-28,148549580.947155
2021-01-29,151113601.54145
2021-01-30,152810307.746193
2021-01-31,150095785.476394
2021-02-01,150835173.582189
2021-02-02,147877621.159008
2021-02-03,146546722.568577
2021-02-04,147729743.537849
2021-02-05,149947907.855235
2021-02-06,152461827.414938
2021-02-07,156496366.009192
2021-02-08,158947631.134232
2021-02-09,165861253.112162
2021-02-10,165150693.720268
2021-02-11,164735889.570692
2021-02-12,160711290.004352
2021-02-13,157334595.395243
2021-02-14,157086558.552812
2021-02-15,156021048.950225
2021-02-16,154346676.717588
2021-02-17,150997932.252315
2021-02-18,150236853.964753
2021-02-19,151454579.224853
2021-02-20,153151584.744405
2021-02-21,151777617.956294
2021-02-22,150850010.28303
2021-02-23,148383785.462339
2021-02-24,149558390.992719
2021-02-25,153082073.674996
2021-02-26,156295152.327635
2021-02-27,154427502.279305
2021-02-28,156124507.798858
2021-03-01,154581775.508355
2021-03-02,154118955.821204
2021-03-03,156587327.486009
2021-03-04,155507414.882657
2021-03-05,151187764.46925
2021-03-06,152730496.759752
2021-03-07,151688789.940123
2021-03-08,153716875.778346
2021-03-09,157270062.993526
2021-03-10,156532984.651209
2021-03-11,155778275.395346
2021-03-12,156136781.579534
2021-03-13,155997206.249477
2021-03-14,154598952.236055
2021-03-15,156274408.861273
2021-03-16,155208209.19068
2021-03-17,156579037.338585
2021-03-18,154598952.236055
2021-03-19,157645237.009179
2021-03-20,157420617.691291
2021-03-21,159552422.855452
2021-03-22,159862383.760139
2021-03-23,160766785.108447
2021-03-24,163071647.62667
2021-03-25,165959097.379709
2021-03-26,166720074.395963
2021-03-27,165215303.471989
2021-03-28,165991691.176275
2021-03-29,166457523.798846
2021-03-30,166457523.798846
2021-03-31,164128360.685989
2021-04-01,164904748.390275
2021-04-02,163507250.522561
2021-04-03,165320614.449343
2021-04-04,162156064.843218
2021-04-05,161456161.732148
2021-04-06,163641576.611307
2021-04-07,164631661.998706
2021-04-08,166049721.399059
2021-04-09,165551986.663944
2021-04-10,167595961.663829
2021-04-11,171868015.588593
2021-04-12,171703705.822256
2021-04-13,169731988.626211
2021-04-14,169403369.093537
2021-04-15,165788554.234121
2021-04-16,172130189.217756
2021-04-17,164404171.243725
2021-04-18,153847004.456353
2021-04-19,150787954.814578
2021-04-20,143371614.980416
2021-04-21,141475361.298204
2021-04-22,136207676.021627
2021-04-23,131796265.463545
2021-04-24,137155198.747959
2021-04-25,146198398.665406
2021-04-26,149045331.972751
2021-04-27,151892265.280096
2021-04-28,154236798.592027
2021-04-29,161102931.862682
2021-04-30,157586131.894785
2021-05-01,159260798.546164
2021-05-02,157685930.670364
2021-05-03,161148443.2431
2021-05-04,167961731.456411
2021-05-05,170671365.204934
2021-05-06,169868525.999013
2021-05-07,174317609.61284
2021-05-08,175207666.008033
2021-05-09,177526237.239258
2021-05-10,177672590.279026
2021-05-11,178111649.398332
2021-05-12,176794472.040415
2021-05-13,178989767.636943
2021-05-14,180666398.198289
2021-05-15,179327827.541623
2021-05-16,176179075.043988
2021-05-17,172435828.215883
2021-05-18,167614164.745652
2021-05-19,160228122.639435
2021-05-20,157288750.716711
2021-05-21,150653185.816762
2021-05-22,146384382.440608
2021-05-23,145139314.78923
2021-05-24,142827046.293813
2021-05-25,143716380.330512
2021-05-26,147807316.899326
2021-05-27,147273716.477307
2021-05-28,148163050.514005
2021-05-29,149763851.780063
2021-05-30,149763851.780063
2021-05-31,150291730.255683
2021-06-01,148955749.533822
2021-06-02,148302838.999958
2021-06-03,151415069.656914
2021-06-04,152576708.79698
2021-06-05,150991098.066713
2021-06-06,149939087.758466
2021-06-07,150665524.106168
2021-06-08,149469765.978341
2021-06-09,150516054.340189
2021-06-10,144537263.701056
2021-06-11,140202640.487684
2021-06-12,136316426.572247
2021-06-13,136465896.338225
2021-06-14,133577497.888429
2021-06-15,132807547.044581
2021-06-16,129079871.707116
2021-06-17,127657584.511226
2021-06-18,128421919.859599
2021-06-19,130280049.808745
2021-06-20,125129902.827167
2021-06-21,120460802.626756
2021-06-22,116214240.842029
2021-06-23,110552158.462393
2021-06-24,107438013.153593
2021-06-25,103899211.666321
2021-06-26,101917482.833448
2021-06-27,99935754.0005757
2021-06-28,93424359.2639942
2021-06-29,90876422.193158
2021-06-30,90734870.1336671
2021-07-01,89036245.4197763
2021-07-02,87620724.8248673
2021-07-03,84789683.6350493
2021-07-04,86292418.3706843
2021-07-05,89670680.5860807
2021-07-06,90819460.5560025
2021-07-07,92563569.8887872
2021-07-08,92511258.7525251
2021-07-09,93241612.1254546
2021-07-10,93863737.3627701
2021-07-11,96184636.5479483
2021-07-12,97204622.0892839
2021-07-13,96592630.7644826
2021-07-14,95980639.4396812
2021-07-15,100774571.483959
2021-07-16,99652587.3884894
2021-07-17,101590559.917027
2021-07-18,99739876.71501
2021-07-19,100971806.318127
2021-07-20,104626219.801939
2021-07-21,102600064.78781
2021-07-22,99339154.9331796
2021-07-23,101138948.17826
2021-07-24,98947054.6236748
2021-07-25,99328674.2626269
2021-07-26,100202533.56699
2021-07-27,98260624.0017384
2021-07-28,102921206.958343
2021-07-29,104086352.697494
2021-07-30,104766021.045332
2021-07-31,107775980.871472
2021-08-01,108889828.951303
2021-08-02,109887906.604439
2021-08-03,110044864.561841
2021-08-04,110936509.262498
2021-08-05,109693176.789001
2021-08-06,110629262.165493
2021-08-07,110879828.660543
2021-08-08,112005260.909839
2021-08-09,112417044.957301
2021-08-10,113343559.064092
2021-08-11,112931775.01663
2021-08-12,114064181.147152
2021-08-13,113137667.040361
2021-08-14,112222868.243425
2021-08-15,113148142.625701
2021-08-16,116988410.691288
2021-08-17,119126461.988796
2021-08-18,121141397.095479
2021-08-19,120921930.17512
2021-08-20,122389629.871403
2021-08-21,124611386.795203
2021-08-22,125274213.32071
2021-08-23,123285733.744191
2021-08-24,127262692.897229
2021-08-25,125274213.32071
2021-08-26,129030251.818921
2021-08-27,130281220.633772
2021-08-28,130869362.923116
2021-08-29,129727331.449533
2021-08-30,131124515.162707
2021-08-31,126249208.859844
2021-09-01,127249992.519862
2021-09-02,125718040.303854
2021-09-03,126093318.036104
2021-09-04,126343503.190938
2021-09-05,128094799.274773
2021-09-06,129095539.894107
2021-09-07,133723965.258527
2021-09-08,134849798.455278
2021-09-09,136270748.731944
2021-09-10,135548079.034177
2021-09-11,134819727.283627
2021-09-12,134785023.053554
2021-09-13,133493710.99653
2021-09-14,132770953.882566
2021-09-15,135601927.411316
2021-09-16,135613291.516881
2021-09-17,135482516.886682
2021-09-18,136921037.818876
2021-09-19,137836460.230273
2021-09-20,139536530.422866
2021-09-21,140190403.573864
2021-09-22,134495823.906565
2021-09-23,134003916.966814
2021-09-24,138478902.636664
2021-09-25,139221878.274872
2021-09-26,138379012.377496
2021-09-27,136207717.711639
2021-09-28,135671902.500934
2021-09-29,139902835.066239
2021-09-30,139363190.572252
2021-10-01,140172657.313233
2021-10-02,139093368.325258
2021-10-03,145029457.75912
2021-10-04,146513480.117585
2021-10-05,146661108.603551
2021-10-06,149322865.80796
2021-10-07,150290764.173168
2021-10-08,147140004.522318
2021-10-09,145204823.800513
2021-10-10,141032003.292797
2021-10-11,143257233.720544
2021-10-12,142823772.583334
2021-10-13,138585678.441395
2021-10-14,143953931.021184
2021-10-15,143388851.802259
2021-10-16,146355517.701616
2021-10-17,143953931.021184
2021-10-18,144095200.825916
2021-10-19,144403297.809865
2021-10-20,147578458.080034
2021-10-21,144953485.606382
2021-10-22,146706531.954428
2021-10-23,149320648.380591
2021-10-24,151210929.158448
2021-10-25,150427844.646195
2021-10-26,155450273.377655
2021-10-27,154737198.729134
2021-10-28,155878118.166768
2021-10-29,156591192.815289
2021-10-30,158445186.901445
2021-10-31,159871336.198487
2021-11-01,158076294.689369
2021-11-02,154884719.912632
2021-11-03,157794954.131665
2021-11-04,160168323.216337
2021-11-05,160343515.778408
2021-11-06,159797397.100081
2021-11-07,161379304.172499
2021-11-08,164887669.48892
2021-11-09,162888098.870118
2021-11-10,161965220.122979
2021-11-11,160119462.6287
2021-11-12,162426659.496548
2021-11-13,160427088.877746
2021-11-14,160273275.753223
2021-11-15,161753319.40522
2021-11-16,165302524.932922
